brand,buttons,color,ctype,dpi,model,name,price,rating,reviews,style
WEIMISEN,8,Blue,Wired,4800 dpi,Hardware macros,KEPOS,19.99,NA,0,All
ENHANCE,7,Black,Wired,14400 dpi,ENSCMSU100BKEW,Scoria,24.99,NA,0,All
MageGee,7,Silver,Wired,3200,G10,Wired gaming mouse,12.99,NA,0,
MageGee,3,Blue,Wireless,1200,V20,Wireless mouse,12.99,NA,0,
MageGee,3,Pink,Wireless,1200,V20,Wireless mouse,12.99,NA,0,
xtrfy,,,Wired,16000 dpi,38011,M4 RGB,112.99,NA,0,
AULA,12,Black,Wired,10000 dpi,H512,Wired Gaming Mouse,39.99,NA,0,Palm / Claw
AULA,6,Black,Wired,2400 dpi,S20,Wired Gaming Mouse,18.99,NA,0,Palm / Claw
AULA,6,Metallic Gray,Lightspeed Wireless,1200 dpi,SC300,Wireless Gaming Mouse,31.99,NA,0,Palm / Claw
HP,,Black,Wired,,2VP02AA,OMEN,114.76,NA,0,
Logitech,6,Black,RF Wireless,12000 dpi,910-005091,G703,149.99,NA,0,All
Logitech,,Black,LIGHTSPEED or Bluetooth wireless,12000 dpi,910-005099,G603,92.99,NA,0,
ZELOTES,7,Black,Wired,5500dpi,,,13.99,NA,0,All
Free worf,6,White,Wired,4000 dpi,V5,,14.99,NA,0,
zelotes,7,Black,Wired / Wireless,3200 dpi,,,22.99,NA,0,All
RAJFOO,6,Black,Wired,3200 dpi,Crazy Scorpion,Crazy Scorpion,18.99,NA,0,Palm
zelotes,6,Black,RF Wireless,2400 dpi,F-12,,14.99,1,1,All
WEIMISEN,8,Yellow,Wired,4800 dpi,Hardware macros,KEPOS,19.99,NA,0,All
A4Tech,11,Black,Wired,8200 dpi,ZL50,,69.99,NA,0,
zelotes,6,Black,RF Wireless,2400 dpi,F-12,,14.99,NA,0,All
Zelotes,6,Black,Wired,5500DPI,T80,Scorpion,13.99,NA,0,All
Zelotes,6,Black,Wired,5500DPI,T80,Scorpion,13.99,NA,0,All
zelotes,12,Black,Wired,4000 dpi,,,28.99,5,1,All
,3,Black,Wired,3200 dpi,,,14.99,NA,0,
IMICE,6,Black,Wired,3200 dpi,X8,X8 USB Wired Gaming Mouse,14.99,NA,0,All
ZELOTES,7,,Wired,5500dpi,,,14.99,NA,0,All
imice,6,White,Wired,4800 dpi,V6 Gaming mouse,V6 Gaming mouse,13.99,NA,0,All
RAJFOO,6,Black,Wired,3200 dpi,Crazy Scorpion,Crazy Scorpion,16.99,NA,0,All
imice,6,White,Wired,4000 dpi,C8,Wired Gaming Mouse V8,22.99,NA,0,All
imice,6,White,Wired,4800 dpi,V6 Gaming mouse,V6 Gaming mouse,13.99,NA,0,All
LUOM,6,Black,Wired,3200 dpi,X5,X5,13.99,NA,0,All
imice,6,White,Wired,4000 dpi,V8,Wired Gaming Mouse V8,23.99,NA,0,All
imice,6,White,Wired,4800 dpi,V6 Gaming mouse,V6 Gaming mouse,13.99,NA,0,All
